id,centroid_x,centroid_y,area,time
13,803,497,6890,2025-12-03_17:28:47
12,609,508,7440,2025-12-03_17:28:47
13,818,495,7345,2025-12-03_17:28:47
12,623,518,8509,2025-12-03_17:28:47
15,640,386,437325,2025-12-03_17:28:47
12,651,510,7808,2025-12-03_17:28:48
13,866,500,6890,2025-12-03_17:28:48
12,689,484,7502,2025-12-03_17:28:48
13,912,472,7788,2025-12-03_17:28:48
12,719,487,7854,2025-12-03_17:28:48
13,945,476,8784,2025-12-03_17:28:48
16,950,469,13205,2025-12-03_17:28:48
12,723,523,7360,2025-12-03_17:28:48
13,948,514,8174,2025-12-03_17:28:48
13,933,552,7128,2025-12-03_17:28:48
12,721,556,8710,2025-12-03_17:28:48
12,728,579,6960,2025-12-03_17:28:48
13,943,568,7345,2025-12-03_17:28:48
13,935,574,7168,2025-12-03_17:28:48
12,722,585,9159,2025-12-03_17:28:48
13,933,585,7973,2025-12-03_17:28:48
13,923,588,8330,2025-12-03_17:28:49
13,918,589,8432,2025-12-03_17:28:49
13,901,592,7119,2025-12-03_17:28:49
13,900,598,7020,2025-12-03_17:28:49
13,907,597,7360,2025-12-03_17:28:49
13,919,589,8500,2025-12-03_17:28:50
13,917,573,7623,2025-12-03_17:28:50
13,923,561,7616,2025-12-03_17:28:50
12,741,568,15440,2025-12-03_17:28:50
12,706,549,7875,2025-12-03_17:28:50
12,696,549,7076,2025-12-03_17:28:50
13,920,538,8976,2025-12-03_17:28:50
12,691,553,9380,2025-12-03_17:28:50
13,904,541,8256,2025-12-03_17:28:50
17,678,299,795056,2025-12-03_17:28:51
18,589,504,8450,2025-12-03_17:28:51
19,1274,692,22230,2025-12-03_17:28:52
12,747,592,21546,2025-12-03_17:28:52
20,721,710,17304,2025-12-03_17:28:53
12,758,620,17888,2025-12-03_17:28:53
12,763,635,19186,2025-12-03_17:28:53
12,734,616,21809,2025-12-03_17:28:54
12,676,596,17388,2025-12-03_17:28:54
21,382,585,6771,2025-12-03_17:28:54
22,605,573,7412,2025-12-03_17:28:54
21,324,589,6825,2025-12-03_17:28:54
22,546,578,7070,2025-12-03_17:28:54
22,490,586,7245,2025-12-03_17:28:54
21,269,594,7182,2025-12-03_17:28:54
21,253,591,6848,2025-12-03_17:28:55
22,479,578,7000,2025-12-03_17:28:55
21,242,572,7104,2025-12-03_17:28:55
22,480,559,9768,2025-12-03_17:28:55
